rep,pop_init,crash_prop,tl,ts,ss,model,filename,minbin,breakpoints,loci,mutation_per_site,n_estimation,theta_per_site_median,theta_per_site_2.5.,theta_per_site_97.5.,year,Ne_median,Ne_2.5.,Ne_97.5.,Ne_12.5.,Ne_87.5.
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.305810040198938e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.305810040198938,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.305810040198938e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.305810040198938,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.317124788873735e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.317124788873735,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.317124788873735e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.317124788873735,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.327681856116347e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.327681856116347,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.327681856116347e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.327681856116347,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.332312294804383e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.332312294804383,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.332312294804383e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.332312294804383,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.335316702847318e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.335316702847318,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.335316702847318e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.335316702847318,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
